Model,Threshold,delta,power (W),Hours in Use
Model 2,11,2.6,0.4,13.75575
Model 2,11,2.6,0.5,11.0265
Model 2,12,2.6,0.2,24.67397222
Model 2,12,2.6,0.3,16.48408333
Model 2,12,2.6,0.4,12.38855556
Model 2,12,2.6,0.5,9.931888889
Model 2,13,2.6,0.2,21.91327778
Model 2,13,2.6,0.3,14.64136111
Model 2,13,2.6,0.4,11.00563889
Model 2,13,2.6,0.5,8.826333333
Model 2,14,2.6,0.2,19.24205556
Model 2,14,2.6,0.3,12.85916667
Model 2,14,2.6,0.4,9.667972222
Model 2,14,2.6,0.5,7.753611111
Model 2,15,2.6,0.2,16.6415
Model 2,15,2.6,0.3,11.12402778
Model 2,15,2.6,0.4,8.365444444
Model 2,15,2.6,0.5,6.709472222
Model 2,10,2.8,0.2,30.61872222
Model 2,10,2.8,0.3,20.44944444
Model 2,10,2.8,0.4,15.36391667
Model 2,10,2.8,0.5,12.31402778
Model 2,11,2.8,0.2,27.92022222
Model 2,11,2.8,0.3,18.65038889
Model 2,11,2.8,0.4,14.01413889
Model 2,11,2.8,0.5,11.23288889
Model 2,12,2.8,0.2,25.17527778
Model 2,12,2.8,0.3,16.81997222
Model 2,12,2.8,0.4,12.64061111
Model 2,12,2.8,0.5,10.13277778
Model 2,13,2.8,0.2,22.39294444
Model 2,13,2.8,0.3,14.96291667
Model 2,13,2.8,0.4,11.24713889
Model 2,13,2.8,0.5,9.01875
Model 2,14,2.8,0.2,19.6975
Model 2,14,2.8,0.3,13.16438889
Model 2,14,2.8,0.4,9.896638889
Model 2,14,2.8,0.5,7.936111111
Model 2,15,2.8,0.2,17.06727778
Model 2,15,2.8,0.3,11.40825
Model 2,15,2.8,0.4,8.5785
Model 2,15,2.8,0.5,6.879944444
Model 3,10,0,0.2,6.985666667
Model 3,10,0,0.3,4.667361111
Model 3,10,0,0.4,3.508555556
Model 3,10,0,0.5,2.813027778
Model 3,11,0,0.2,6.213305556
Model 3,11,0,0.3,4.151944444
Model 3,11,0,0.4,3.121388889
Model 3,11,0,0.5,2.503111111
Model 3,12,0,0.2,5.508333333
Model 3,12,0,0.3,3.682083333
Model 3,12,0,0.4,2.768638889
Model 3,12,0,0.5,2.221
Model 3,13,0,0.2,4.82925
Model 3,13,0,0.3,3.228361111
Model 3,13,0,0.4,2.428527778
Model 3,13,0,0.5,1.948638889
Model 3,14,0,0.2,4.181555556
Model 3,14,0,0.3,2.795916667
Model 3,14,0,0.4,2.103666667
Model 3,14,0,0.5,1.688694444
Model 3,15,0,0.2,3.57025
Model 3,15,0,0.3,2.388166667
Model 3,15,0,0.4,1.797388889
Model 3,15,0,0.5,1.442444444
Model 3,10,0.2,0.2,7.130972222
Model 3,10,0.2,0.3,4.763916667
Model 3,10,0.2,0.4,3.580388889
Model 3,10,0.2,0.5,2.870444444
Model 3,11,0.2,0.2,6.353611111
Model 3,11,0.2,0.3,4.245111111
Model 3,11,0.2,0.4,3.191361111
Model 3,11,0.2,0.5,2.559055556
Model 3,12,0.2,0.2,5.642888889
Model 3,12,0.2,0.3,3.770944444
Model 3,12,0.2,0.4,2.835138889
Model 3,12,0.2,0.5,2.274555556
Model 3,13,0.2,0.2,4.958166667
Model 3,13,0.2,0.3,3.313833333
Model 3,13,0.2,0.4,2.492583333
Model 3,13,0.2,0.5,1.999277778
Model 3,14,0.2,0.2,4.302138889
Model 3,14,0.2,0.3,2.876722222
Model 3,14,0.2,0.4,2.163055556
Model 3,14,0.2,0.5,1.735972222
Model 3,15,0.2,0.2,3.682138889
Model 3,15,0.2,0.3,2.462666667
Model 3,15,0.2,0.4,1.852472222
Model 3,15,0.2,0.5,1.486777778
Model 3,10,0.4,0.2,7.274555556
Model 3,10,0.4,0.3,4.859861111
Model 3,10,0.4,0.4,3.652861111
Model 3,10,0.4,0.5,2.92775
Model 3,11,0.4,0.2,6.491972222
Model 3,11,0.4,0.3,4.337027778
Model 3,11,0.4,0.4,3.25975
Model 3,11,0.4,0.5,2.613666667
Model 3,12,0.4,0.2,5.775083333
Model 3,12,0.4,0.3,3.858638889
Model 3,12,0.4,0.4,2.900388889
Model 3,12,0.4,0.5,2.326
Model 3,13,0.4,0.2,5.083305556
Model 3,13,0.4,0.3,3.39775
Model 3,13,0.4,0.4,2.554777778
Model 3,13,0.4,0.5,2.048888889
Model 3,14,0.4,0.2,4.419611111
Model 3,14,0.4,0.3,2.954166667
Model 3,14,0.4,0.4,2.221916667
Model 3,14,0.4,0.5,1.782416667
Model 3,15,0.4,0.2,3.789527778
Model 3,15,0.4,0.3,2.533805556
Model 3,15,0.4,0.4,1.905611111
Model 3,15,0.4,0.5,1.528972222
Model 3,10,0.6,0.2,7.415527778
Model 3,10,0.6,0.3,4.953805556
Model 3,10,0.6,0.4,3.722222222
Model 3,10,0.6,0.5,2.984444444
Model 3,11,0.6,0.2,6.627055556
Model 3,11,0.6,0.3,4.427583333
Model 3,11,0.6,0.4,3.327222222
Model 3,11,0.6,0.5,2.66725
Model 3,12,0.6,0.2,5.903472222
Model 3,12,0.6,0.3,3.945027778
Model 3,12,0.6,0.4,2.965722222
Model 3,12,0.6,0.5,2.377611111
Model 3,13,0.6,0.2,5.203666667
Model 3,13,0.6,0.3,3.477611111
Model 3,13,0.6,0.4,2.614555556
Model 3,13,0.6,0.5,2.096805556
Model 3,14,0.6,0.2,4.532472222
Model 3,14,0.6,0.3,3.030027778
Model 3,14,0.6,0.4,2.278444444
Model 3,14,0.6,0.5,1.827166667
Model 3,15,0.6,0.2,3.892416667
Model 3,15,0.6,0.3,2.602444444
Model 3,15,0.6,0.4,1.956638889
Model 3,15,0.6,0.5,1.570138889
Model 3,10,0.8,0.2,7.55575
Model 3,10,0.8,0.3,5.047333333
Model 3,10,0.8,0.4,3.792305556
Model 3,10,0.8,0.5,3.039416667
Model 3,11,0.8,0.2,6.759861111
Model 3,11,0.8,0.3,4.514916667
Model 3,11,0.8,0.4,3.39375
Model 3,11,0.8,0.5,2.721361111
Model 3,12,0.8,0.2,6.029472222
Model 3,12,0.8,0.3,4.029138889
Model 3,12,0.8,0.4,3.028277778
Model 3,12,0.8,0.5,2.427805556
Model 3,13,0.8,0.2,5.32375
Model 3,13,0.8,0.3,3.556583333
Model 3,13,0.8,0.4,2.673805556
Model 3,13,0.8,0.5,2.144361111
Model 3,14,0.8,0.2,4.641916667
Model 3,14,0.8,0.3,3.101472222
Model 3,14,0.8,0.4,2.331277778
Model 3,14,0.8,0.5,1.869472222
Model 3,15,0.8,0.2,3.991194444
Model 3,15,0.8,0.3,2.666722222
Model 3,15,0.8,0.4,2.005194444
Model 3,15,0.8,0.5,1.608916667
Model 3,10,1,0.2,7.694277778
Model 3,10,1,0.3,5.139555556
Model 3,10,1,0.4,3.861805556
Model 3,10,1,0.5,3.0945
Model 3,11,1,0.2,6.932277778
Model 3,11,1,0.3,4.630027778
Model 3,11,1,0.4,3.480388889
Model 3,11,1,0.5,2.789416667
Model 3,12,1,0.2,6.1525
Model 3,12,1,0.3,4.110138889
Model 3,12,1,0.4,3.088777778
Model 3,12,1,0.5,2.476
Model 3,13,1,0.2,5.440055556
Model 3,13,1,0.3,3.634138889
Model 3,13,1,0.4,2.731305556
Model 3,13,1,0.5,2.189166667
Model 3,14,1,0.2,4.744444444
Model 3,14,1,0.3,3.169472222
Model 3,14,1,0.4,2.381833333
Model 3,14,1,0.5,1.910555556
Model 3,15,1,0.2,4.084555556
Model 3,15,1,0.3,2.72925
Model 3,15,1,0.4,2.051944444
Model 3,15,1,0.5,1.644861111
Model 3,10,1.2,0.2,7.830527778
Model 3,10,1.2,0.3,5.229527778
Model 3,10,1.2,0.4,3.929333333
Model 3,10,1.2,0.5,3.148305556
Model 3,11,1.2,0.2,7.061111111
Model 3,11,1.2,0.3,4.716277778
Model 3,11,1.2,0.4,3.544361111
Model 3,11,1.2,0.5,2.840472222
Model 3,12,1.2,0.2,6.273277778
Model 3,12,1.2,0.3,4.190638889
Model 3,12,1.2,0.4,3.148305556
Model 3,12,1.2,0.5,2.524055556
Model 3,13,1.2,0.2,5.550194444
Model 3,13,1.2,0.3,3.707222222
Model 3,13,1.2,0.4,2.785694444
Model 3,13,1.2,0.5,2.232944444
Model 3,14,1.2,0.2,4.844111111
Model 3,14,1.2,0.3,3.23675
Model 3,14,1.2,0.4,2.43225
Model 3,14,1.2,0.5,1.949222222
Model 3,15,1.2,0.2,4.172527778
Model 3,15,1.2,0.3,2.786777778
Model 3,15,1.2,0.4,2.095333333
Model 3,15,1.2,0.5,1.679361111
Model 3,10,1.4,0.2,7.959944444
Model 3,10,1.4,0.3,5.315944444
Model 3,10,1.4,0.4,3.993833333
Model 3,10,1.4,0.5,3.199805556
Model 3,11,1.4,0.2,7.185027778
Model 3,11,1.4,0.3,4.798361111
Model 3,11,1.4,0.4,3.604916667
Model 3,11,1.4,0.5,2.889194444
Model 3,12,1.4,0.2,6.387527778
Model 3,12,1.4,0.3,4.266527778
Model 3,12,1.4,0.4,3.205527778
Model 3,12,1.4,0.5,2.56825
Model 3,13,1.4,0.2,5.653833333
Model 3,13,1.4,0.3,3.774916667
Model 3,13,1.4,0.4,2.836
Model 3,13,1.4,0.5,2.27275
Model 3,14,1.4,0.2,4.941055556
Model 3,14,1.4,0.3,3.300777778
Model 3,14,1.4,0.4,2.48025
Model 3,14,1.4,0.5,1.987833333
Model 3,15,1.4,0.2,4.257722222
Model 3,15,1.4,0.3,2.844666667
Model 3,15,1.4,0.4,2.136333333
Model 3,15,1.4,0.5,1.713333333
Model 3,10,1.6,0.2,8.085472222
Model 3,10,1.6,0.3,5.399
Model 3,10,1.6,0.4,4.054944444
Model 3,10,1.6,0.5,3.248888889
Model 3,11,1.6,0.2,7.303972222
Model 3,11,1.6,0.3,4.877777778
Model 3,11,1.6,0.4,3.665472222
Model 3,11,1.6,0.5,2.937138889
Model 3,12,1.6,0.2,6.491416667
Model 3,12,1.6,0.3,4.336194444
Model 3,12,1.6,0.4,3.256277778
Model 3,12,1.6,0.5,2.608638889
Model 3,13,1.6,0.2,5.751472222
Model 3,13,1.6,0.3,3.83975
Model 3,13,1.6,0.4,2.885194444
Model 3,13,1.6,0.5,2.312027778
Model 3,14,1.6,0.2,5.035138889
Model 3,14,1.6,0.3,3.36025
Model 3,14,1.6,0.4,2.525666667
Model 3,14,1.6,0.5,2.023388889
Model 3,15,1.6,0.2,4.338027778
Model 3,15,1.6,0.3,2.89525
Model 3,15,1.6,0.4,2.174472222
Model 3,15,1.6,0.5,1.744583333
Model 3,10,1.8,0.2,8.209277778
Model 3,10,1.8,0.3,5.481666667
Model 3,10,1.8,0.4,4.117277778
Model 3,10,1.8,0.5,3.298833333
Model 3,11,1.8,0.2,7.420194444
Model 3,11,1.8,0.3,4.955166667
Model 3,11,1.8,0.4,3.7225
Model 3,11,1.8,0.5,2.981166667
Model 3,12,1.8,0.2,6.597138889
Model 3,12,1.8,0.3,4.404083333
Model 3,12,1.8,0.4,3.308694444
Model 3,12,1.8,0.5,2.652305556
Model 3,13,1.8,0.2,5.845583333
Model 3,13,1.8,0.3,3.90425
Model 3,13,1.8,0.4,2.932527778
Model 3,13,1.8,0.5,2.349805556
Model 3,14,1.8,0.2,5.117166667
Model 3,14,1.8,0.3,3.416611111
Model 3,14,1.8,0.4,2.568555556
Model 3,14,1.8,0.5,2.056555556
Model 3,15,1.8,0.2,4.416361111
Model 3,15,1.8,0.3,2.94875
Model 3,15,1.8,0.4,2.214027778
Model 3,15,1.8,0.5,1.774694444
Model 3,10,2,0.2,8.328194444
Model 3,10,2,0.3,5.559527778
Model 3,10,2,0.4,4.175944444
Model 3,10,2,0.5,3.344583333
Model 3,11,2,0.2,7.52525
Model 3,11,2,0.3,5.024083333
Model 3,11,2,0.4,3.774138889
Model 3,11,2,0.5,3.022416667
Model 3,12,2,0.2,6.737527778
Model 3,12,2,0.3,4.497555556
Model 3,12,2,0.4,3.376916667
Model 3,12,2,0.5,2.706361111
Model 3,13,2,0.2,5.933388889
Model 3,13,2,0.3,3.959694444
Model 3,13,2,0.4,2.974527778
Model 3,13,2,0.5,2.384305556
Model 3,14,2,0.2,5.19125
Model 3,14,2,0.3,3.466527778
Model 3,14,2,0.4,2.604138889
Model 3,14,2,0.5,2.086805556
Model 3,15,2,0.2,4.487527778
Model 3,15,2,0.3,2.996833333
Model 3,15,2,0.4,2.250527778
Model 3,15,2,0.5,1.804166667
Model 3,10,2.2,0.2,8.441333333
Model 3,10,2.2,0.3,5.636805556
Model 3,10,2.2,0.4,4.232583333
Model 3,10,2.2,0.5,3.391
Model 3,11,2.2,0.2,7.62275
Model 3,11,2.2,0.3,5.088861111
Model 3,11,2.2,0.4,3.820361111
Model 3,11,2.2,0.5,3.061027778
Model 3,12,2.2,0.2,6.828777778
Model 3,12,2.2,0.3,4.560694444
Model 3,12,2.2,0.4,3.423194444
Model 3,12,2.2,0.5,2.742388889
Model 3,13,2.2,0.2,6.012111111
Model 3,13,2.2,0.3,4.011694444
Model 3,13,2.2,0.4,3.0145
Model 3,13,2.2,0.5,2.415638889
Model 3,14,2.2,0.2,5.269777778
Model 3,14,2.2,0.3,3.517805556
Model 3,14,2.2,0.4,2.640611111
Model 3,14,2.2,0.5,2.116416667
Model 3,15,2.2,0.2,4.560111111
Model 3,15,2.2,0.3,3.043416667
Model 3,15,2.2,0.4,2.287
Model 3,15,2.2,0.5,1.831583333
Model 3,10,2.4,0.2,8.549388889
Model 3,10,2.4,0.3,5.7065
Model 3,10,2.4,0.4,4.285694444
Model 3,10,2.4,0.5,3.432861111
Model 3,11,2.4,0.2,7.713694444
Model 3,11,2.4,0.3,5.152027778
Model 3,11,2.4,0.4,3.868138889
Model 3,11,2.4,0.5,3.098722222
Model 3,12,2.4,0.2,6.914472222
Model 3,12,2.4,0.3,4.615777778
Model 3,12,2.4,0.4,3.465611111
Model 3,12,2.4,0.5,2.775722222
Model 3,13,2.4,0.2,6.088527778
Model 3,13,2.4,0.3,4.064805556
Model 3,13,2.4,0.4,3.053555556
Model 3,13,2.4,0.5,2.44525
Model 3,14,2.4,0.2,5.343527778
Model 3,14,2.4,0.3,3.566222222
Model 3,14,2.4,0.4,2.679416667
Model 3,14,2.4,0.5,2.144611111
Model 3,15,2.4,0.2,4.619555556
Model 3,15,2.4,0.3,3.083527778
Model 3,15,2.4,0.4,2.316527778
Model 3,15,2.4,0.5,1.855888889
Model 3,10,2.6,0.2,8.650888889
Model 3,10,2.6,0.3,5.773666667
Model 3,10,2.6,0.4,4.335138889
Model 3,10,2.6,0.5,3.472694444
Model 3,11,2.6,0.2,7.808194444
Model 3,11,2.6,0.3,5.211
Model 3,11,2.6,0.4,3.913805556
Model 3,11,2.6,0.5,3.134444444
Model 3,12,2.6,0.2,7.000222222
Model 3,12,2.6,0.3,4.671638889
Model 3,12,2.6,0.4,3.507638889
Model 3,12,2.6,0.5,2.809388889
Model 3,13,2.6,0.2,6.164388889
Model 3,13,2.6,0.3,4.117083333
Model 3,13,2.6,0.4,3.092111111
Model 3,13,2.6,0.5,2.476722222
Model 3,14,2.6,0.2,5.404388889
Model 3,14,2.6,0.3,3.611722222
Model 3,14,2.6,0.4,2.709416667
Model 3,14,2.6,0.5,2.172555556
Model 3,15,2.6,0.2,4.680138889
Model 3,15,2.6,0.3,3.122083333
Model 3,15,2.6,0.4,2.348
Model 3,15,2.6,0.5,1.881027778
Model 3,10,2.8,0.2,8.742916667
Model 3,10,2.8,0.3,5.834666667
Model 3,10,2.8,0.4,4.382638889
Model 3,10,2.8,0.5,3.510277778
Model 3,11,2.8,0.2,7.897333333
Model 3,11,2.8,0.3,5.271694444
Model 3,11,2.8,0.4,3.958055556
Model 3,11,2.8,0.5,3.169527778
Model 3,12,2.8,0.2,7.075416667
Model 3,12,2.8,0.3,4.722722222
Model 3,12,2.8,0.4,3.545194444
Model 3,12,2.8,0.5,2.84075
Model 3,13,2.8,0.2,6.244722222
Model 3,13,2.8,0.3,4.169388889
Model 3,13,2.8,0.4,3.129972222
Model 3,13,2.8,0.5,2.506861111
Model 3,14,2.8,0.2,5.472333333
Model 3,14,2.8,0.3,3.65125
Model 3,14,2.8,0.4,2.742944444
Model 3,14,2.8,0.5,2.195638889
Model 3,15,2.8,0.2,4.743944444
Model 3,15,2.8,0.3,3.165416667
Model 3,15,2.8,0.4,2.377305556
Model 3,15,2.8,0.5,1.904
Model 4,10,0,0.2,7.110527778
Model 4,10,0,0.3,4.753722222
Model 4,10,0,0.4,3.576083333
Model 4,10,0,0.5,2.869138889
Model 4,11,0,0.2,6.362277778
Model 4,11,0,0.3,4.252111111
Model 4,11,0,0.4,3.196722222
Model 4,11,0,0.5,2.563222222
Model 4,12,0,0.2,5.641222222
Model 4,12,0,0.3,3.770777778
Model 4,12,0,0.4,2.835444444
Model 4,12,0,0.5,2.274194444
Model 4,13,0,0.2,4.946583333
Model 4,13,0,0.3,3.307083333
Model 4,13,0,0.4,2.487166667
Model 4,13,0,0.5,1.995638889
Model 4,14,0,0.2,4.283472222
Model 4,14,0,0.3,2.865277778
Model 4,14,0,0.4,2.155416667
Model 4,14,0,0.5,1.729416667
Model 4,15,0,0.2,3.639527778
Model 4,15,0,0.3,2.437138889
Model 4,15,0,0.4,1.835222222
Model 4,15,0,0.5,1.474805556
Model 4,10,0.2,0.2,7.299388889
Model 4,10,0.2,0.3,4.876861111
Model 4,10,0.2,0.4,3.664972222
Model 4,10,0.2,0.5,2.938416667
Model 4,11,0.2,0.2,6.506305556
Model 4,11,0.2,0.3,4.347083333
Model 4,11,0.2,0.4,3.26775
Model 4,11,0.2,0.5,2.620194444
Model 4,12,0.2,0.2,5.779166667
Model 4,12,0.2,0.3,3.861944444
Model 4,12,0.2,0.4,2.903638889
Model 4,12,0.2,0.5,2.329
Model 4,13,0.2,0.2,5.078166667
Model 4,13,0.2,0.3,3.394472222
Model 4,13,0.2,0.4,2.552388889
Model 4,13,0.2,0.5,2.047722222
Model 4,14,0.2,0.2,4.407277778
Model 4,14,0.2,0.3,2.946833333
Model 4,14,0.2,0.4,2.216888889
Model 4,14,0.2,0.5,1.778472222
Model 4,15,0.2,0.2,3.77325
Model 4,15,0.2,0.3,2.522916667
Model 4,15,0.2,0.4,1.898305556
Model 4,15,0.2,0.5,1.523416667
Model 4,10,0.4,0.2,7.447027778
Model 4,10,0.4,0.3,4.974194444
Model 4,10,0.4,0.4,3.738694444
Model 4,10,0.4,0.5,2.997111111
Model 4,11,0.4,0.2,6.647277778
Model 4,11,0.4,0.3,4.441472222
Model 4,11,0.4,0.4,3.338194444
Model 4,11,0.4,0.5,2.676722222
Model 4,12,0.4,0.2,5.913694444
Model 4,12,0.4,0.3,3.952444444
Model 4,12,0.4,0.4,2.970916667
Model 4,12,0.4,0.5,2.383
Model 4,13,0.4,0.2,5.206611111
Model 4,13,0.4,0.3,3.479861111
Model 4,13,0.4,0.4,2.616444444
Model 4,13,0.4,0.5,2.098416667
Model 4,14,0.4,0.2,4.527694444
Model 4,14,0.4,0.3,3.026916667
Model 4,14,0.4,0.4,2.275861111
Model 4,14,0.4,0.5,1.826333333
Model 4,15,0.4,0.2,3.883361111
Model 4,15,0.4,0.3,2.597027778
Model 4,15,0.4,0.4,1.953305556
Model 4,15,0.4,0.5,1.566888889
Model 4,10,0.6,0.2,7.591611111
Model 4,10,0.6,0.3,5.071333333
Model 4,10,0.6,0.4,3.810833333
Model 4,10,0.6,0.5,3.055111111
Model 4,11,0.6,0.2,6.7855
Model 4,11,0.6,0.3,4.533416667
Model 4,11,0.6,0.4,3.407111111
Model 4,11,0.6,0.5,2.731805556
Model 4,12,0.6,0.2,6.046166667
Model 4,12,0.6,0.3,4.039916667
Model 4,12,0.6,0.4,3.037027778
Model 4,12,0.6,0.5,2.434916667
Model 4,13,0.6,0.2,5.331388889
Model 4,13,0.6,0.3,3.562722222
Model 4,13,0.6,0.4,2.677944444
Model 4,13,0.6,0.5,2.147861111
Model 4,14,0.6,0.2,4.644472222
Model 4,14,0.6,0.3,3.104694444
Model 4,14,0.6,0.4,2.333972222
Model 4,14,0.6,0.5,1.871888889
Model 4,15,0.6,0.2,3.989388889
Model 4,15,0.6,0.3,2.66675
Model 4,15,0.6,0.4,2.00625
Model 4,15,0.6,0.5,1.608972222
Model 4,10,0.8,0.2,7.7355
Model 4,10,0.8,0.3,5.165805556
Model 4,10,0.8,0.4,3.881888889
Model 4,10,0.8,0.5,3.111555556
Model 4,11,0.8,0.2,6.921833333
Model 4,11,0.8,0.3,4.624055556
Model 4,11,0.8,0.4,3.474583333
Model 4,11,0.8,0.5,2.785944444
Model 4,12,0.8,0.2,6.177444444
Model 4,12,0.8,0.3,4.126111111
Model 4,12,0.8,0.4,3.101638889
Model 4,12,0.8,0.5,2.486555556
Model 4,13,0.8,0.2,5.452555556
Model 4,13,0.8,0.3,3.643972222
Model 4,13,0.8,0.4,2.738944444
Model 4,13,0.8,0.5,2.196138889
Model 4,14,0.8,0.2,4.757111111
Model 4,14,0.8,0.3,3.178444444
Model 4,14,0.8,0.4,2.389833333
Model 4,14,0.8,0.5,1.916333333
Model 4,15,0.8,0.2,4.090138889
Model 4,15,0.8,0.3,2.734277778
Model 4,15,0.8,0.4,2.056027778
Model 4,15,0.8,0.5,1.648666667
Model 4,10,1,0.2,7.876888889
Model 4,10,1,0.3,5.261111111
Model 4,10,1,0.4,3.953416667
Model 4,10,1,0.5,3.168444444
Model 4,11,1,0.2,7.057611111
Model 4,11,1,0.3,4.717361111
Model 4,11,1,0.4,3.547861111
Model 4,11,1,0.5,2.845472222
Model 4,12,1,0.2,6.302611111
Model 4,12,1,0.3,4.210333333
Model 4,12,1,0.4,3.164277778
Model 4,12,1,0.5,2.536666667
Model 4,13,1,0.2,5.573
Model 4,13,1,0.3,3.723416667
Model 4,13,1,0.4,2.79875
Model 4,13,1,0.5,2.24375
Model 4,14,1,0.2,4.863277778
Model 4,14,1,0.3,3.24875
Model 4,14,1,0.4,2.44125
Model 4,14,1,0.5,1.957555556
Model 4,15,1,0.2,4.18725
Model 4,15,1,0.3,2.798083333
Model 4,15,1,0.4,2.10375
Model 4,15,1,0.5,1.68625
Model 4,10,1.2,0.2,8.015777778
Model 4,10,1.2,0.3,5.354444444
Model 4,10,1.2,0.4,4.0225
Model 4,10,1.2,0.5,3.224333333
Model 4,11,1.2,0.2,7.228611111
Model 4,11,1.2,0.3,4.828472222
Model 4,11,1.2,0.4,3.62825
Model 4,11,1.2,0.5,2.907888889
Model 4,12,1.2,0.2,6.425916667
Model 4,12,1.2,0.3,4.292305556
Model 4,12,1.2,0.4,3.224555556
Model 4,12,1.2,0.5,2.585166667
Model 4,13,1.2,0.2,5.687111111
Model 4,13,1.2,0.3,3.797805556
Model 4,13,1.2,0.4,2.854194444
Model 4,13,1.2,0.5,2.288
Model 4,14,1.2,0.2,4.964083333
Model 4,14,1.2,0.3,3.316833333
Model 4,14,1.2,0.4,2.493666667
Model 4,14,1.2,0.5,1.998611111
Model 4,15,1.2,0.2,4.279138889
Model 4,15,1.2,0.3,2.858083333
Model 4,15,1.2,0.4,2.148722222
Model 4,15,1.2,0.5,1.722083333
Model 4,10,1.4,0.2,8.151194444
Model 4,10,1.4,0.3,5.443138889
Model 4,10,1.4,0.4,4.089138889
Model 4,10,1.4,0.5,3.276944444
Model 4,11,1.4,0.2,7.358944444
Model 4,11,1.4,0.3,4.914611111
Model 4,11,1.4,0.4,3.692166667
Model 4,11,1.4,0.5,2.957694444
Model 4,12,1.4,0.2,6.544527778
Model 4,12,1.4,0.3,4.371027778
Model 4,12,1.4,0.4,3.283861111
Model 4,12,1.4,0.5,2.632888889
Model 4,13,1.4,0.2,5.793361111
Model 4,13,1.4,0.3,3.869444444
Model 4,13,1.4,0.4,2.906805556
Model 4,13,1.4,0.5,2.329722222
Model 4,14,1.4,0.2,5.063805556
Model 4,14,1.4,0.3,3.383611111
Model 4,14,1.4,0.4,2.54275
Model 4,14,1.4,0.5,2.037833333
Model 4,15,1.4,0.2,4.368305556
Model 4,15,1.4,0.3,2.917361111
Model 4,15,1.4,0.4,2.193027778
Model 4,15,1.4,0.5,1.756722222
Model 4,10,1.6,0.2,8.283055556
Model 4,10,1.6,0.3,5.528972222
Model 4,10,1.6,0.4,4.153194444
Model 4,10,1.6,0.5,3.327527778
Model 4,11,1.6,0.2,7.479416667
Model 4,11,1.6,0.3,4.995416667
Model 4,11,1.6,0.4,3.752916667
Model 4,11,1.6,0.5,3.00775
Model 4,12,1.6,0.2,6.655472222
Model 4,12,1.6,0.3,4.443361111
Model 4,12,1.6,0.4,3.33875
Model 4,12,1.6,0.5,2.674777778
Model 4,13,1.6,0.2,5.894694444
Model 4,13,1.6,0.3,3.936472222
Model 4,13,1.6,0.4,2.957055556
Model 4,13,1.6,0.5,2.370777778
Model 4,14,1.6,0.2,5.161
Model 4,14,1.6,0.3,3.446972222
Model 4,14,1.6,0.4,2.588888889
Model 4,14,1.6,0.5,2.076111111
Model 4,15,1.6,0.2,4.447277778
Model 4,15,1.6,0.3,2.971027778
Model 4,15,1.6,0.4,2.231722222
Model 4,15,1.6,0.5,1.789472222
Model 4,10,1.8,0.2,8.406444444
Model 4,10,1.8,0.3,5.61275
Model 4,10,1.8,0.4,4.216694444
Model 4,10,1.8,0.5,3.377472222
Model 4,11,1.8,0.2,7.5995
Model 4,11,1.8,0.3,5.075472222
Model 4,11,1.8,0.4,3.812527778
Model 4,11,1.8,0.5,3.053916667
Model 4,12,1.8,0.2,6.758972222
Model 4,12,1.8,0.3,4.512277778
Model 4,12,1.8,0.4,3.39
Model 4,12,1.8,0.5,2.717666667
Model 4,13,1.8,0.2,5.993444444
Model 4,13,1.8,0.3,4.002694444
Model 4,13,1.8,0.4,3.006305556
Model 4,13,1.8,0.5,2.40975
Model 4,14,1.8,0.2,5.248777778
Model 4,14,1.8,0.3,3.505777778
Model 4,14,1.8,0.4,2.634055556
Model 4,14,1.8,0.5,2.109166667
Model 4,15,1.8,0.2,4.531083333
Model 4,15,1.8,0.3,3.025111111
Model 4,15,1.8,0.4,2.272805556
Model 4,15,1.8,0.5,1.821916667
Model 4,10,2,0.2,8.527944444
Model 4,10,2,0.3,5.695111111
Model 4,10,2,0.4,4.276888889
Model 4,10,2,0.5,3.426916667
Model 4,11,2,0.2,7.708277778
Model 4,11,2,0.3,5.149083333
Model 4,11,2,0.4,3.866444444
Model 4,11,2,0.5,3.097833333
Model 4,12,2,0.2,6.867166667
Model 4,12,2,0.3,4.587166667
Model 4,12,2,0.4,3.447861111
Model 4,12,2,0.5,2.763138889
Model 4,13,2,0.2,6.082722222
Model 4,13,2,0.3,4.061777778
Model 4,13,2,0.4,3.050722222
Model 4,13,2,0.5,2.444
Model 4,14,2,0.2,5.326888889
Model 4,14,2,0.3,3.557305556
Model 4,14,2,0.4,2.67125
Model 4,14,2,0.5,2.140222222
Model 4,15,2,0.2,4.6025
Model 4,15,2,0.3,3.074472222
Model 4,15,2,0.4,2.309666667
Model 4,15,2,0.5,1.850416667
Model 4,10,2.2,0.2,8.645944444
Model 4,10,2.2,0.3,5.77275
Model 4,10,2.2,0.4,4.335138889
Model 4,10,2.2,0.5,3.474138889
Model 4,11,2.2,0.2,7.814194444
Model 4,11,2.2,0.3,5.2165
Model 4,11,2.2,0.4,3.917444444
Model 4,11,2.2,0.5,3.138305556
Model 4,12,2.2,0.2,6.998
Model 4,12,2.2,0.3,4.672194444
Model 4,12,2.2,0.4,3.509
Model 4,12,2.2,0.5,2.811777778
Model 4,13,2.2,0.2,6.171055556
Model 4,13,2.2,0.3,4.118833333
Model 4,13,2.2,0.4,3.095305556
Model 4,13,2.2,0.5,2.477777778
Model 4,14,2.2,0.2,5.407888889
Model 4,14,2.2,0.3,3.608722222
