Model,Threshold,delta,power (W),Hours in Use
Model 1,15,1.2,0.2,4.243805556
Model 1,15,1.2,0.3,2.836666667
Model 1,15,1.2,0.4,2.130722222
Model 1,15,1.2,0.5,1.708194444
Model 1,10,1.4,0.2,8.087555556
Model 1,10,1.4,0.3,5.401388889
Model 1,10,1.4,0.4,4.057194444
Model 1,10,1.4,0.5,3.251777778
Model 1,11,1.4,0.2,7.301083333
Model 1,11,1.4,0.3,4.876222222
Model 1,11,1.4,0.4,3.664
Model 1,11,1.4,0.5,2.935444444
Model 1,12,1.4,0.2,6.494166667
Model 1,12,1.4,0.3,4.337666667
Model 1,12,1.4,0.4,3.258333333
Model 1,12,1.4,0.5,2.611083333
Model 1,13,1.4,0.2,5.748444444
Model 1,13,1.4,0.3,3.83925
Model 1,13,1.4,0.4,2.884611111
Model 1,13,1.4,0.5,2.313138889
Model 1,14,1.4,0.2,5.024694444
Model 1,14,1.4,0.3,3.356694444
Model 1,14,1.4,0.4,2.522111111
Model 1,14,1.4,0.5,2.021944444
Model 1,15,1.4,0.2,4.330583333
Model 1,15,1.4,0.3,2.894583333
Model 1,15,1.4,0.4,2.175722222
Model 1,15,1.4,0.5,1.743055556
Model 1,10,1.6,0.2,8.216222222
Model 1,10,1.6,0.3,5.486888889
Model 1,10,1.6,0.4,4.121472222
Model 1,10,1.6,0.5,3.301972222
Model 1,11,1.6,0.2,7.422527778
Model 1,11,1.6,0.3,4.956333333
Model 1,11,1.6,0.4,3.723861111
Model 1,11,1.6,0.5,2.984222222
Model 1,12,1.6,0.2,6.602277778
Model 1,12,1.6,0.3,4.408527778
Model 1,12,1.6,0.4,3.311916667
Model 1,12,1.6,0.5,2.654055556
Model 1,13,1.6,0.2,5.84675
Model 1,13,1.6,0.3,3.905638889
Model 1,13,1.6,0.4,2.935055556
Model 1,13,1.6,0.5,2.351888889
Model 1,14,1.6,0.2,5.12075
Model 1,14,1.6,0.3,3.418888889
Model 1,14,1.6,0.4,2.56925
Model 1,14,1.6,0.5,2.058722222
Model 1,15,1.6,0.2,4.410361111
Model 1,15,1.6,0.3,2.946055556
Model 1,15,1.6,0.4,2.214111111
Model 1,15,1.6,0.5,1.774777778
Model 1,10,1.8,0.2,8.340305556
Model 1,10,1.8,0.3,5.569611111
Model 1,10,1.8,0.4,4.183416667
Model 1,10,1.8,0.5,3.353055556
Model 1,11,1.8,0.2,7.541833333
Model 1,11,1.8,0.3,5.036
Model 1,11,1.8,0.4,3.782305556
Model 1,11,1.8,0.5,3.030194444
Model 1,12,1.8,0.2,6.706194444
Model 1,12,1.8,0.3,4.477638889
Model 1,12,1.8,0.4,3.363833333
Model 1,12,1.8,0.5,2.694833333
Model 1,13,1.8,0.2,5.946472222
Model 1,13,1.8,0.3,3.970638889
Model 1,13,1.8,0.4,2.982583333
Model 1,13,1.8,0.5,2.388944444
Model 1,14,1.8,0.2,5.208055556
Model 1,14,1.8,0.3,3.477472222
Model 1,14,1.8,0.4,2.612166667
Model 1,14,1.8,0.5,2.092138889
Model 1,15,1.8,0.2,4.492666667
Model 1,15,1.8,0.3,3.000361111
Model 1,15,1.8,0.4,2.253138889
Model 1,15,1.8,0.5,1.806111111
Model 1,10,2,0.2,8.46375
Model 1,10,2,0.3,5.650444444
Model 1,10,2,0.4,4.243388889
Model 1,10,2,0.5,3.399361111
Model 1,11,2,0.2,7.649805556
Model 1,11,2,0.3,5.108694444
Model 1,11,2,0.4,3.835638889
Model 1,11,2,0.5,3.071888889
Model 1,12,2,0.2,6.813888889
Model 1,12,2,0.3,4.554805556
Model 1,12,2,0.4,3.424777778
Model 1,12,2,0.5,2.746111111
Model 1,13,2,0.2,6.037861111
Model 1,13,2,0.3,4.030722222
Model 1,13,2,0.4,3.026333333
Model 1,13,2,0.5,2.42475
Model 1,14,2,0.2,5.282805556
Model 1,14,2,0.3,3.527277778
Model 1,14,2,0.4,2.649166667
Model 1,14,2,0.5,2.123638889
Model 1,15,2,0.2,4.56575
Model 1,15,2,0.3,3.050333333
Model 1,15,2,0.4,2.292416667
Model 1,15,2,0.5,1.8355
Model 1,10,2.2,0.2,8.578916667
Model 1,10,2.2,0.3,5.727611111
Model 1,10,2.2,0.4,4.301305556
Model 1,10,2.2,0.5,3.447222222
Model 1,11,2.2,0.2,7.75175
Model 1,11,2.2,0.3,5.174222222
Model 1,11,2.2,0.4,3.885888889
Model 1,11,2.2,0.5,3.114583333
Model 1,12,2.2,0.2,6.943
Model 1,12,2.2,0.3,4.635111111
Model 1,12,2.2,0.4,3.480861111
Model 1,12,2.2,0.5,2.788138889
Model 1,13,2.2,0.2,6.117944444
Model 1,13,2.2,0.3,4.085583333
