Model 1,15,0,0.611333333,0
Model 2,15,0,1.63975,0
Model 3,15,0,0.543305556,0
Model 4,15,0,0.608055556,0
Model 1,15,0,0.447888889,1
Model 2,15,0,1.910583333,1
Model 3,15,0,0.526333333,1
Model 4,15,0,0.517638889,1
Model 1,15,0,0.418722222,2
Model 2,15,0,1.647777778,2
Model 3,15,0,0.479111111,2
Model 4,15,0,0.478611111,2
Model 1,15,0,0.302805556,3
Model 2,15,0,1.425805556,3
Model 3,15,0,0.373444444,3
Model 4,15,0,0.358222222,3
Model 1,15,0,0.202,4
Model 2,15,0,1.015611111,4
Model 3,15,0,0.271055556,4
Model 4,15,0,0.255666667,4
Model 1,15,0,0.096444444,5
Model 2,15,0,0.414055556,5
Model 3,15,0,0.132555556,5
Model 4,15,0,0.105722222,5
Model 1,15,0,0.042527778,6
Model 2,15,0,0.064555556,6
Model 3,15,0,0.078888889,6
Model 4,15,0,0.0715,6
Model 2,15,0,0.031194444,7
Model 3,15,0,0.097472222,7
Model 4,15,0,0.11875,7
Model 1,15,0,0.363527778,9
Model 2,15,0,0.038861111,9
Model 3,15,0,0.112638889,9
Model 4,15,0,0.148388889,9
Model 1,15,0,0.487111111,10
Model 2,15,0,1.01825,10
Model 3,15,0,0.40575,10
Model 4,15,0,0.491083333,10
Model 1,15,0,0.463638889,11
Model 2,15,0,1.596222222,11
Model 3,15,0,0.452388889,11
Model 4,15,0,0.410972222,11
